
[00:00:00.000 --> 00:00:03.320]   We wanted to play, because we're trying to get that room for a good sport.
[00:00:03.320 --> 00:00:05.620]   Okay.
[00:00:05.620 --> 00:00:08.180]   Please play more, Nick.
[00:00:08.180 --> 00:00:10.820]   Yeah, don't be shy.
[00:00:10.820 --> 00:00:11.880]   Okay, we're good?
[00:00:11.880 --> 00:00:13.060]   All right, thank you, everybody.
[00:00:13.060 --> 00:00:43.040]   We'll be right back.
[00:00:43.040 --> 00:01:13.020]   We'll be right back.
[00:01:13.020 --> 00:01:43.000]   We'll be right back.
[00:01:43.000 --> 00:01:45.000]   Amen.
[00:01:45.000 --> 00:01:47.000]   Amen.
[00:01:47.000 --> 00:01:49.000]   Amen.
[00:01:49.000 --> 00:01:53.000]   Amen.
[00:01:53.000 --> 00:01:55.000]   Amen.
[00:01:55.000 --> 00:02:01.000]   Amen.
[00:02:01.000 --> 00:02:07.000]   Amen.
[00:02:07.000 --> 00:02:13.000]   Amen.
[00:02:13.000 --> 00:02:13.000]   Amen.
[00:02:13.000 --> 00:02:42.980]   Thank you.
[00:02:42.980 --> 00:03:12.960]   Thank you.
[00:03:12.960 --> 00:03:42.940]   Thank you.
[00:03:42.940 --> 00:04:12.920]   Thank you.
[00:04:12.920 --> 00:04:42.900]   Thank you.
[00:04:42.900 --> 00:05:12.880]   Thank you.
[00:05:12.880 --> 00:05:42.860]   Thank you.
[00:05:42.860 --> 00:06:12.840]   Thank you.
[00:06:12.840 --> 00:06:42.820]   Thank you.
[00:06:42.820 --> 00:07:12.800]   Thank you.
[00:07:12.800 --> 00:07:42.780]   Thank you.
[00:07:42.780 --> 00:08:12.760]   Thank you.
[00:08:12.760 --> 00:08:42.740]   Thank you.
[00:08:42.740 --> 00:09:12.720]   Thank you.
[00:09:12.720 --> 00:09:42.700]   Thank you.
[00:09:42.700 --> 00:10:12.680]   Thank you.
[00:10:12.680 --> 00:10:42.660]   Thank you.
[00:10:42.660 --> 00:11:12.640]   Thank you.
