
[00:00:00.000 --> 00:00:29.980]   . . . .
[00:00:29.980 --> 00:00:59.960]   . . .
[00:00:59.960 --> 00:01:01.960]   . . .
[00:01:01.960 --> 00:01:03.960]   . . .
[00:01:03.960 --> 00:01:05.960]   . . .
[00:01:05.960 --> 00:01:07.960]   . . .
[00:01:07.960 --> 00:01:09.960]   . . .
[00:01:09.960 --> 00:01:11.960]   . . .
[00:01:11.960 --> 00:01:13.960]   . . .
[00:01:13.960 --> 00:01:23.960]   . . .
[00:01:23.960 --> 00:01:23.960]   . .
[00:01:23.960 --> 00:01:25.960]   . . .
[00:01:25.960 --> 00:01:25.960]   . . .
[00:01:25.960 --> 00:01:25.960]   . . .
[00:01:25.960 --> 00:01:27.960]   . . .
[00:01:27.960 --> 00:01:39.960]   . . .
[00:01:39.960 --> 00:01:41.960]   . . .
[00:01:41.960 --> 00:01:43.960]   . . .
[00:01:43.960 --> 00:01:45.960]   . . .
[00:01:45.960 --> 00:01:49.960]   . . .
[00:01:49.960 --> 00:01:55.960]   . . .
[00:01:55.960 --> 00:01:59.960]   . . .
[00:01:59.960 --> 00:02:11.960]   . . .
[00:02:11.960 --> 00:02:13.960]   . . .
[00:02:13.960 --> 00:02:27.960]   . . .
[00:02:27.960 --> 00:02:29.960]   . . .
[00:02:29.960 --> 00:02:43.960]   . . .
[00:02:43.960 --> 00:02:45.960]   . . .
[00:02:45.960 --> 00:02:59.960]   . . .
[00:02:59.960 --> 00:03:01.960]   . .
[00:03:01.960 --> 00:03:01.960]   . .
[00:03:01.960 --> 00:03:03.960]   . . .
[00:03:03.960 --> 00:03:05.960]   . . .
[00:03:05.960 --> 00:03:23.960]   . .
[00:03:23.960 --> 00:03:25.960]   . .
[00:03:25.960 --> 00:03:27.960]   . .
[00:03:27.960 --> 00:03:43.960]   . .
[00:03:43.960 --> 00:03:45.960]   . .
[00:03:45.960 --> 00:03:47.960]   . .
[00:03:47.960 --> 00:03:49.960]   . .
[00:03:49.960 --> 00:03:51.960]   . .
[00:03:51.960 --> 00:04:07.960]   . .
[00:04:07.960 --> 00:04:09.960]   . .
[00:04:09.960 --> 00:04:10.960]   . .
[00:04:10.960 --> 00:04:11.960]   . .
[00:04:11.960 --> 00:04:11.960]   . .
[00:04:11.960 --> 00:04:13.960]   . .
[00:04:13.960 --> 00:04:23.960]   . .
[00:04:23.960 --> 00:04:37.960]   .
[00:04:37.960 --> 00:04:38.960]   .
[00:04:38.960 --> 00:04:40.960]   .
[00:04:40.960 --> 00:04:41.960]   .
[00:04:41.960 --> 00:04:42.960]   .
[00:04:42.960 --> 00:04:43.960]   .
[00:04:43.960 --> 00:04:43.960]   .
[00:04:43.960 --> 00:04:45.960]   .
[00:04:45.960 --> 00:04:45.960]   .
[00:04:45.960 --> 00:04:47.960]   .
[00:04:47.960 --> 00:04:47.960]   .
