
[00:00:00.000 --> 00:00:28.980]   [ Music ]
[00:00:28.980 --> 00:00:29.980]   [ Silence ]
[00:00:29.980 --> 00:00:32.980]   [ Silence ]
[00:00:32.980 --> 00:00:38.980]   [ Silence ]
[00:00:38.980 --> 00:00:44.980]   [ Silence ]
[00:00:44.980 --> 00:00:51.980]   [ Silence ]
[00:00:51.980 --> 00:00:57.980]   [ Silence ]
[00:00:57.980 --> 00:01:00.980]   [ Silence ]
[00:01:00.980 --> 00:01:06.980]   [ Silence ]
[00:01:06.980 --> 00:01:12.980]   [ Silence ]
[00:01:12.980 --> 00:01:19.980]   [ Silence ]
[00:01:19.980 --> 00:01:26.980]   [ Silence ]
[00:01:26.980 --> 00:01:29.980]   [ Silence ]
[00:01:29.980 --> 00:01:35.980]   [ Silence ]
[00:01:35.980 --> 00:01:41.980]   [ Silence ]
[00:01:41.980 --> 00:01:48.980]   [ Silence ]
[00:01:48.980 --> 00:01:55.980]   [ Silence ]
[00:01:55.980 --> 00:01:58.980]   [ Silence ]
[00:01:58.980 --> 00:02:04.980]   [ Silence ]
[00:02:04.980 --> 00:02:11.980]   [ Silence ]
[00:02:11.980 --> 00:02:18.980]   [ Silence ]
[00:02:22.980 --> 00:02:25.980]   [ Silence ]
[00:02:25.980 --> 00:02:32.980]   [ Silence ]
[00:02:32.980 --> 00:02:40.980]   [ Silence ]
[00:02:40.980 --> 00:02:48.980]   [ Silence ]
[00:02:48.980 --> 00:02:51.980]   [ Silence ]
[00:02:51.980 --> 00:02:54.980]   [ Silence ]
[00:02:54.980 --> 00:02:57.980]   [ Silence ]
[00:02:57.980 --> 00:03:00.980]   [ Silence ]
[00:03:00.980 --> 00:03:03.980]   [ Silence ]
[00:03:03.980 --> 00:03:06.980]   [ Silence ]
[00:03:06.980 --> 00:03:09.980]   [ Silence ]
[00:03:09.980 --> 00:03:12.980]   [ Silence ]
[00:03:12.980 --> 00:03:15.980]   [ Silence ]
[00:03:15.980 --> 00:03:18.980]   [ Silence ]
[00:03:18.980 --> 00:03:21.980]   [ Silence ]
[00:03:21.980 --> 00:03:24.980]   [ Silence ]
[00:03:24.980 --> 00:03:27.980]   [ Silence ]
[00:03:27.980 --> 00:03:30.980]   [ Silence ]
[00:03:30.980 --> 00:03:33.980]   [ Silence ]
[00:03:33.980 --> 00:03:36.980]   [ Silence ]
[00:03:36.980 --> 00:03:39.980]   [ Silence ]
[00:03:39.980 --> 00:03:42.980]   [ Silence ]
[00:03:42.980 --> 00:03:45.980]   [ Silence ]
[00:03:45.980 --> 00:03:48.980]   [ Silence ]
[00:03:48.980 --> 00:03:51.980]   [ Silence ]
[00:03:51.980 --> 00:04:00.980]   [ Silence ]
[00:04:00.980 --> 00:04:08.980]   [ Silence ]
[00:04:08.980 --> 00:04:16.980]   [ Silence ]
[00:04:16.980 --> 00:04:19.980]   [ Silence ]
[00:04:19.980 --> 00:04:27.980]   [ Silence ]
[00:04:27.980 --> 00:04:35.980]   [ Silence ]
[00:04:35.980 --> 00:04:43.980]   [ Silence ]
[00:04:43.980 --> 00:04:46.980]   [ Silence ]
[00:04:46.980 --> 00:04:57.980]   [ Silence ]
[00:04:57.980 --> 00:05:07.980]   >> I wish we could spend every night together.
[00:05:07.980 --> 00:05:09.980]   It would be pretty rough.
[00:05:09.980 --> 00:05:13.980]   But we had a nice break, and I'd be glad to see everybody back.
[00:05:13.980 --> 00:05:16.980]   Let's take a moment to gather our hearts to pray
[00:05:16.980 --> 00:05:19.980]   as we start off our Bible study tonight.
[00:05:19.980 --> 00:05:27.980]   Heavenly Father, we want to take a moment to go before you.
[00:05:27.980 --> 00:05:30.980]   God, in every time that we get together in this way,
[00:05:30.980 --> 00:05:33.980]   we always want to lift up our heart of thanks to you.
[00:05:33.980 --> 00:05:36.980]   Lord God, thank you for blessing us
[00:05:36.980 --> 00:05:39.980]   so regularly, so lavishly, so freely.
[00:05:39.980 --> 00:05:42.980]   We also pray, God, that every time,
[00:05:42.980 --> 00:05:45.980]   you know, we're gathered together to study,
[00:05:45.980 --> 00:05:48.980]   we do pray that the time and discussion,
[00:05:48.980 --> 00:05:53.980]   the time and the study that we did at home,
[00:05:53.980 --> 00:05:57.980]   and even just hearing again the passage over and over,
[00:05:57.980 --> 00:06:00.980]   we pray, Lord, that you would make it fruitful.
[00:06:00.980 --> 00:06:04.980]   God, that our hearts would bear the kind of response
[00:06:04.980 --> 00:06:06.980]   you desire to see.
[00:06:06.980 --> 00:06:09.980]   Cause us, Lord God, to be strengthened in the inside.
[00:06:09.980 --> 00:06:13.980]   And then now, Lord, as we lift up, you know, our song to you,
[00:06:13.980 --> 00:06:16.980]   we again pray that what we do, Lord God,
[00:06:16.980 --> 00:06:19.980]   would be an expression of our faith,
[00:06:19.980 --> 00:06:23.980]   that, Lord, we would lift up to you both our song,
[00:06:23.980 --> 00:06:25.980]   our voices, but also our hearts.
[00:06:25.980 --> 00:06:28.980]   We thank you again. It's in Christ's name. Amen.
[00:06:29.980 --> 00:06:32.980]   [playing in bright rhythm]
[00:06:32.980 --> 00:06:40.980]   ♪ ♪
[00:06:40.980 --> 00:06:50.980]   ♪ ♪
[00:06:50.980 --> 00:07:00.980]   ♪ ♪
[00:07:00.980 --> 00:07:10.980]   ♪ ♪
[00:07:10.980 --> 00:07:20.980]   ♪ ♪
[00:07:20.980 --> 00:07:30.980]   ♪ ♪
[00:07:30.980 --> 00:07:40.980]   ♪ ♪
[00:07:40.980 --> 00:07:50.980]   ♪ ♪
[00:07:50.980 --> 00:08:00.980]   ♪ ♪
[00:08:00.980 --> 00:08:10.980]   ♪ ♪
[00:08:10.980 --> 00:08:20.980]   ♪ ♪
[00:08:20.980 --> 00:08:30.980]   ♪ ♪
