
[00:00:00.000 --> 00:00:29.980]   Thank you very much.
[00:00:29.980 --> 00:00:59.960]   Thank you.
[00:00:59.960 --> 00:01:29.940]   Thank you.
[00:03:29.860 --> 00:03:47.080]   All right, well if we could make our way to our seats in the other rooms, we'll start in a minute.
[00:03:47.080 --> 00:04:17.060]   Thank you.
[00:04:17.060 --> 00:04:47.040]   Thank you.
[00:04:47.040 --> 00:04:59.460]   All right.
[00:04:59.460 --> 00:05:10.120]   Welcome back to our Wednesday night Bible study.
[00:05:10.120 --> 00:05:12.480]   Let's pray together to open the night.
[00:05:12.480 --> 00:05:26.340]   our god and father we thank you for the text that you allowed us to study this past week
[00:05:26.340 --> 00:05:35.420]   lord i pray that our worship our life would be so tied to your word what you teach us and what
[00:05:35.420 --> 00:05:41.960]   you show us a father that will cause in us great gratitude lord that we come before you with
[00:05:41.960 --> 00:05:49.000]   thankful hearts that would come with joy and and remembering that we serve a great god a good god
[00:05:49.000 --> 00:05:55.740]   one who cares so so much for his children and so i pray god that as we worship you we would come
[00:05:55.740 --> 00:06:01.400]   like that and we would give you the worship that you deserve in jesus name we pray amen
[00:06:01.400 --> 00:06:19.320]   All to Jesus.
[00:06:19.320 --> 00:06:26.300]   All to Jesus I surrender
[00:06:26.300 --> 00:06:33.100]   All to Him I freely give
[00:06:33.100 --> 00:06:41.040]   I will ever love and trust Him
[00:06:41.040 --> 00:06:47.040]   In His presence daily live
[00:06:47.040 --> 00:07:13.400]   I surrender all, I surrender all, all to Thee, my blessed Savior, I surrender all.
[00:07:13.400 --> 00:07:25.400]   All to Jesus I surrender
[00:07:25.400 --> 00:07:32.240]   Howly at his feet I bow
[00:07:32.240 --> 00:07:39.340]   Worldly pleasures all forsaken
[00:07:39.340 --> 00:07:46.080]   Take me, Jesus, take me now.
[00:07:46.080 --> 00:07:51.780]   I surrender all.
[00:07:51.780 --> 00:07:58.700]   I surrender all.
[00:07:58.700 --> 00:08:06.340]   All to Thee, my blessed Savior.
[00:08:06.340 --> 00:08:12.340]   I surrender all.
[00:08:12.340 --> 00:08:23.340]   All to Jesus I surrender.
[00:08:23.340 --> 00:08:30.680]   Make me Savior wholly Thine.
[00:08:30.680 --> 00:08:37.640]   Let me feel the Holy Spirit
[00:08:37.640 --> 00:08:44.360]   Truly know that Thou art mine
[00:08:44.360 --> 00:08:50.200]   I surrender all
[00:08:50.200 --> 00:08:56.940]   I surrender all
[00:08:56.940 --> 00:09:10.300]   All to Thee, my blessed Savior, I surrender all.
[00:09:14.260 --> 00:09:29.000]   All to Jesus I surrender, Lord, I give myself to Thee.
[00:09:29.000 --> 00:09:42.500]   Fill me with Thy love and power, let Thy blessings fall on me.
[00:09:42.500 --> 00:10:08.080]   I surrender all, I surrender all, all to Thee, my blessed Savior, I surrender all.
[00:10:08.080 --> 00:10:35.420]   Oh, I surrender all, I surrender all, all to Thee, my blessed Savior, I surrender all.
[00:10:35.420 --> 00:10:59.160]   There's a place where mercy reigns
[00:10:59.160 --> 00:11:03.040]   And never dies
[00:11:03.040 --> 00:11:09.760]   There's a place
[00:11:09.760 --> 00:11:13.160]   Where streams of grace
[00:11:13.160 --> 00:11:16.680]   Flow deep and wide
[00:11:16.680 --> 00:11:23.820]   Where all the love
[00:11:23.820 --> 00:11:27.040]   I've ever found
[00:11:27.040 --> 00:11:30.640]   Comes like a flood
[00:11:30.640 --> 00:11:34.600]   Comes flowing down
[00:11:34.600 --> 00:11:42.060]   At the cross, at the cross
[00:11:42.060 --> 00:11:45.520]   I surrender my life
[00:11:45.520 --> 00:11:48.720]   I'm in awe of you
[00:11:48.720 --> 00:11:52.340]   I'm in awe of you
[00:11:52.340 --> 00:11:56.220]   Where your love ran red
[00:11:56.220 --> 00:11:59.720]   And my sin washed white
[00:11:59.720 --> 00:12:02.800]   I owe all to you
[00:12:02.800 --> 00:12:06.660]   I owe all to you
[00:12:06.660 --> 00:12:08.580]   Jesus
[00:12:08.580 --> 00:12:20.260]   There's a place
[00:12:20.260 --> 00:12:23.520]   Where sin and shame
[00:12:23.520 --> 00:12:26.420]   Are powerless
[00:12:26.420 --> 00:12:33.780]   Where my heart
[00:12:33.780 --> 00:12:37.300]   Has peace with God
[00:12:37.300 --> 00:12:39.780]   And forgiveness
[00:12:39.780 --> 00:12:47.860]   Where all the love
[00:12:47.860 --> 00:12:51.200]   I've ever found
[00:12:51.200 --> 00:13:05.960]   comes like a flood comes flowing down at the cross at the cross I surrender my life
[00:13:05.960 --> 00:13:19.900]   I'm in awe of you I'm in awe of you where your love ran red and my sin washed white
[00:13:19.900 --> 00:13:26.900]   I owe all to you, I owe all to you
[00:13:26.900 --> 00:13:34.800]   Here my hope is found, here on holy ground
[00:13:34.800 --> 00:13:41.400]   Here I bow down, here I bow down
[00:13:41.400 --> 00:13:47.900]   Here, arms open wide, here you save my life
[00:13:47.900 --> 00:14:01.100]   Here I bow down, here I bow at the cross, at the cross, I surrender my life.
[00:14:01.100 --> 00:14:28.780]   I'm in awe of you, I'm in awe of you, where your love ran red, and my sin washed white, oh all to you, I owe all to you, at the cross, at the cross, I surrender my life.
[00:14:28.780 --> 00:14:42.760]   I'm in awe of you, I'm in awe of you, where your love ran red and my sin washed white.
[00:14:42.760 --> 00:14:51.800]   I owe all to you, I owe all to you, Jesus.
[00:14:51.800 --> 00:15:05.420]   All right. Hello, everyone. Our announcements for today, we have our Berean men's softball
[00:15:05.420 --> 00:15:11.000]   tournament that's going to be happening on May 16th at Whittier Narrows. And so this is going to be
[00:15:11.000 --> 00:15:15.960]   in order to raise funds for our missions programs. And this is for all skill levels,
[00:15:15.960 --> 00:15:20.220]   but you must be a member to participate. Practices are going to begin this Sunday,
[00:15:20.580 --> 00:15:22.140]   So please be aware of that.
[00:15:22.140 --> 00:15:25.740]   But also, we're going to have our Women's Softball Fellowship.
[00:15:25.740 --> 00:15:29.140]   This won't be a tournament, but on June 14th at 2 p.m.,
[00:15:29.140 --> 00:15:32.180]   all levels of experience and skill sets are welcome to this as well,
[00:15:32.180 --> 00:15:33.540]   even if you've never done it before.
[00:15:33.540 --> 00:15:36.320]   Please sign up for this, as it should be a fun time.
[00:15:36.320 --> 00:15:39.280]   Practices will begin on May 3rd at 2 p.m.
[00:15:39.280 --> 00:15:41.280]   Locations will be announced a little bit later.
[00:15:41.280 --> 00:15:45.680]   And our last announcement here is for our all-church retreat.
[00:15:46.900 --> 00:15:54.460]   We've been giving regular announcements about redeeming our identity with our speaker coming in.
[00:15:54.460 --> 00:15:59.140]   So, Friday, August 7th to Sunday, August 9th at Renaissance Esmeralda in Indian Wells.
