
[00:00:00.000 --> 00:00:21.100]   Thou the nations rage, kingdoms rise and fall, there is still one King reigning over all.
[00:00:21.100 --> 00:00:37.480]   So I will not fear, for this truth remains, that my God is the ancient of days.
[00:00:39.540 --> 00:00:55.740]   None above Him, none before Him, all of time in His hands, for His throne it shall remain and ever stand.
[00:01:05.740 --> 00:01:35.720]   Thank you.
[00:01:35.720 --> 00:02:05.700]   Thank you.
[00:02:05.700 --> 00:02:35.680]   Thank you.
[00:02:35.680 --> 00:03:05.660]   Thank you.
[00:03:05.660 --> 00:03:35.640]   Thank you.
[00:03:35.640 --> 00:04:05.620]   Thank you.
[00:04:05.620 --> 00:04:35.600]   Thank you.
[00:04:35.600 --> 00:05:05.580]   Thank you.
[00:05:05.580 --> 00:05:35.560]   Thank you.
[00:05:35.560 --> 00:06:05.540]   Thank you.
[00:06:05.540 --> 00:06:35.520]   Thank you.
[00:06:35.520 --> 00:07:05.500]   Thank you.
[00:07:05.500 --> 00:07:35.480]   Thank you.
[00:07:35.480 --> 00:07:37.480]   Thank you.
[00:07:37.480 --> 00:07:39.480]   Thank you.
[00:07:39.480 --> 00:07:46.480]   Thank you.
[00:07:46.480 --> 00:07:48.480]   Thank you.
[00:07:48.480 --> 00:07:50.480]   Thank you.
[00:07:50.480 --> 00:07:52.480]   Thank you.
[00:07:52.480 --> 00:07:54.480]   Thank you.
[00:07:54.480 --> 00:07:56.480]   Thank you.
[00:07:56.480 --> 00:07:58.480]   Thank you.
[00:07:58.480 --> 00:08:00.480]   Thank you.
[00:08:00.480 --> 00:08:02.480]   Thank you.
[00:08:02.480 --> 00:08:04.480]   Thank you.
[00:08:04.480 --> 00:08:06.480]   Thank you.
[00:08:06.480 --> 00:08:08.480]   Thank you.
[00:08:08.480 --> 00:08:10.480]   Thank you.
[00:08:10.480 --> 00:08:12.480]   Thank you.
[00:08:12.480 --> 00:08:14.480]   Thank you.
[00:08:14.480 --> 00:08:16.480]   Thank you.
[00:08:16.480 --> 00:08:18.480]   Thank you.
[00:08:18.480 --> 00:08:18.480]   Thank you.
[00:08:18.480 --> 00:08:20.480]   Thank you.
[00:08:20.480 --> 00:08:22.480]   Thank you.
[00:08:22.480 --> 00:08:24.480]   Thank you.
[00:08:24.480 --> 00:08:26.480]   Thank you.
[00:08:26.480 --> 00:08:28.480]   Thank you.
[00:08:28.480 --> 00:08:28.480]   Thank you.
[00:08:28.480 --> 00:08:30.480]   Thank you.
[00:08:30.480 --> 00:08:32.480]   Thank you.
[00:08:32.480 --> 00:08:34.480]   Thank you.
[00:08:34.480 --> 00:08:36.480]   Thank you.
[00:08:36.480 --> 00:08:36.480]   Thank you.
[00:08:36.480 --> 00:08:36.480]   Thank you.
[00:08:36.480 --> 00:08:36.480]   Thank you.
[00:08:36.480 --> 00:08:36.480]   Thank you.
[00:08:36.480 --> 00:08:38.480]   Thank you.
[00:08:38.480 --> 00:08:38.480]   Thank you.
[00:08:38.480 --> 00:08:40.480]   Thank you.
[00:08:40.480 --> 00:08:40.480]   Thank you.
[00:08:40.480 --> 00:08:42.480]   Thank you.
[00:08:42.480 --> 00:08:42.480]   Thank you.
[00:08:42.480 --> 00:08:44.480]   Thank you.
[00:08:44.480 --> 00:08:46.480]   Thank you.
[00:08:46.480 --> 00:08:46.480]   Thank you.
[00:08:46.480 --> 00:08:47.480]   Thank you.
[00:08:47.480 --> 00:08:48.480]   Thank you.
[00:08:48.480 --> 00:08:50.480]   Thank you.
[00:08:50.480 --> 00:08:50.480]   Thank you.
[00:08:50.480 --> 00:08:52.480]   Thank you.
[00:08:52.480 --> 00:09:10.480]   Not by my earthly wisdom, the grace of life without a stain was treated for the sake of life.
[00:09:10.480 --> 00:09:30.480]   By grace I am redeemed, by grace I am restored, and now I freely walk into the arms of Christ my Lord.
[00:09:30.480 --> 00:09:51.480]   Let praise rise up and overflow, my song resound forever.
[00:09:51.480 --> 00:10:04.480]   For grace will see me welcomed home, to walk beside myself.
