
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.240]   (audience chattering continues)
[00:00:07.240 --> 00:00:11.320]   (audience chattering continues)
[00:00:12.320 --> 00:00:16.480]   (audience chattering continues)
[00:00:16.480 --> 00:00:20.560]   (audience chattering continues)
[00:00:20.660 --> 00:00:24.740]   (audience chattering continues)
[00:00:24.740 --> 00:00:28.820]   (audience chattering continues)
[00:00:28.820 --> 00:00:32.900]   (audience chattering continues)
[00:00:32.900 --> 00:00:36.980]   (audience chattering continues)
[00:00:36.980 --> 00:00:41.060]   (audience chattering continues)
[00:00:41.060 --> 00:00:45.140]   (audience chattering continues)
[00:00:45.140 --> 00:00:49.220]   (audience chattering continues)
[00:00:49.220 --> 00:01:09.420]   (audience chattering continues)
[00:01:09.420 --> 00:01:13.420]   (audience chattering continues)
[00:01:13.420 --> 00:01:17.420]   (audience chattering continues)
[00:01:17.420 --> 00:01:21.420]   (audience chattering continues)
[00:01:21.420 --> 00:01:25.420]   (audience chattering continues)
[00:01:25.420 --> 00:01:29.420]   (audience chattering continues)
[00:01:29.420 --> 00:01:33.420]   (audience chattering continues)
[00:01:33.420 --> 00:01:37.420]   (audience chattering continues)
[00:01:37.420 --> 00:01:41.420]   (audience chattering continues)
[00:01:41.420 --> 00:01:45.420]   (audience chattering continues)
[00:01:45.420 --> 00:01:49.420]   (audience chattering continues)
[00:01:49.420 --> 00:01:53.420]   (audience chattering continues)
[00:01:53.420 --> 00:01:57.420]   (audience chattering continues)
[00:01:57.420 --> 00:02:01.420]   (audience chattering continues)
[00:02:01.420 --> 00:02:05.420]   (audience chattering continues)
[00:02:05.420 --> 00:02:09.420]   (audience chattering continues)
[00:02:09.420 --> 00:02:13.420]   (audience chattering continues)
[00:02:13.420 --> 00:02:17.420]   (audience chattering continues)
[00:02:17.420 --> 00:02:21.420]   (audience chattering continues)
[00:02:21.420 --> 00:02:25.420]   (audience chattering continues)
[00:02:25.420 --> 00:02:29.420]   (audience chattering continues)
[00:02:29.420 --> 00:02:33.420]   (audience chattering continues)
[00:02:33.420 --> 00:02:37.420]   (audience chattering continues)
[00:02:37.420 --> 00:02:41.420]   (audience chattering continues)
[00:02:41.420 --> 00:02:45.420]   (audience chattering continues)
[00:02:45.420 --> 00:02:49.420]   (audience chattering continues)
[00:02:49.420 --> 00:02:53.420]   (audience chattering continues)
[00:02:53.420 --> 00:03:13.420]   (audience chattering continues)
[00:03:13.420 --> 00:03:17.420]   (audience chattering continues)
[00:03:17.420 --> 00:03:25.420]   (audience chattering continues)
[00:03:25.420 --> 00:03:35.420]   (audience chattering continues)
[00:03:35.420 --> 00:03:39.420]   (audience chattering continues)
[00:03:39.420 --> 00:03:54.420]   (audience chattering continues)
[00:03:54.420 --> 00:03:58.420]   (audience chattering continues)
[00:03:58.420 --> 00:04:08.420]   - Hello, hello.
[00:04:08.420 --> 00:04:10.420]   Good evening, everybody.
[00:04:10.420 --> 00:04:16.420]   Let's gather together our attention up here.
[00:04:16.420 --> 00:04:18.420]   Let's go ahead and make our way over to our tables
[00:04:18.420 --> 00:04:20.420]   and get situated.
[00:04:22.420 --> 00:04:25.420]   And let's start off with a word of prayer together.
[00:04:25.420 --> 00:04:29.420]   Heavenly Father, we are always so thankful to you.
[00:04:29.420 --> 00:04:33.420]   God, we are so grateful that you bless us tremendously
[00:04:33.420 --> 00:04:35.420]   through the ministry of your spirit,
[00:04:35.420 --> 00:04:38.420]   through your word, and through your church.
[00:04:38.420 --> 00:04:40.420]   God, what a blessing it is for us to be able
[00:04:40.420 --> 00:04:43.420]   to share of our own convictions,
[00:04:43.420 --> 00:04:45.420]   the things that you are teaching us,
[00:04:45.420 --> 00:04:48.420]   and also, Lord God, to share our prayer requests
[00:04:48.420 --> 00:04:49.420]   and to support each other in this way.
