
[00:00:00.000 --> 00:00:08.620]   I love for the end a lot.
[00:00:08.620 --> 00:00:09.300]   Yes, yes.
[00:00:09.300 --> 00:00:10.100]   The king.
[00:00:10.100 --> 00:00:14.060]   Okay, just pull out from there and then come in with that last line.
[00:00:14.060 --> 00:00:20.880]   Yeah, I think I'm like trying to hear myself, but then I get like, and then I feel like
[00:00:20.880 --> 00:00:21.320]   I'm going to.
[00:00:21.320 --> 00:00:51.300]   I love you.
[00:00:51.300 --> 00:01:21.280]   I love you.
[00:01:21.280 --> 00:01:51.260]   I love you.
[00:01:51.260 --> 00:02:21.240]   I love you.
[00:02:21.240 --> 00:02:51.220]   I love you.
[00:02:51.220 --> 00:03:21.200]   I love you.
[00:03:21.200 --> 00:03:51.180]   I love you.
[00:03:51.180 --> 00:04:21.160]   I love you.
[00:04:21.160 --> 00:04:51.140]   I love you.
[00:04:51.140 --> 00:05:21.120]   I love you.
[00:05:21.120 --> 00:05:51.100]   I love you.
[00:05:51.100 --> 00:06:21.080]   I love you.
[00:06:21.080 --> 00:06:51.060]   I love you.
[00:06:51.060 --> 00:07:21.040]   I love you.
[00:07:21.040 --> 00:07:51.020]   I love you.
[00:07:51.020 --> 00:08:21.000]   I love you.
[00:08:21.000 --> 00:08:50.980]   I love you.
[00:08:50.980 --> 00:09:20.960]   I love you.
[00:09:20.960 --> 00:09:50.940]   I love you.
[00:09:50.940 --> 00:10:20.920]   I love you.
[00:10:20.920 --> 00:10:50.900]   I love you.
[00:10:50.900 --> 00:11:20.880]   I love you.
[00:11:20.880 --> 00:11:50.860]   I love you.
[00:11:50.860 --> 00:12:20.840]   I love you.
[00:12:20.840 --> 00:12:50.820]   I love you.
[00:12:50.820 --> 00:13:20.800]   I love you.
[00:13:20.800 --> 00:13:50.780]   I love you.
[00:13:50.780 --> 00:14:20.760]   I love you.
[00:14:20.760 --> 00:14:50.740]   I love you.
[00:14:50.740 --> 00:15:20.720]   I love you.
[00:15:20.720 --> 00:15:50.700]   I love you.
[00:15:50.700 --> 00:16:20.680]   I love you.
[00:16:20.680 --> 00:16:50.660]   I love you.
[00:16:50.660 --> 00:17:20.640]   I love you.
[00:17:20.640 --> 00:17:50.620]   I love you.
[00:17:50.620 --> 00:18:20.600]   I love you.
[00:18:20.600 --> 00:18:50.580]   I love you.
[00:18:50.580 --> 00:19:20.560]   I love you.
[00:19:20.560 --> 00:19:50.540]   I love you.
[00:19:50.540 --> 00:20:20.520]   I love you.
[00:20:20.520 --> 00:20:50.500]   I love you.
[00:20:50.500 --> 00:21:20.480]   I love you.
[00:21:20.480 --> 00:21:50.460]   I love you.
[00:21:50.460 --> 00:22:20.440]   I love you.
[00:22:20.440 --> 00:22:50.420]   I love you.
[00:22:50.420 --> 00:23:20.400]   I love you.
