
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.240]   (audience chattering continues)
[00:00:07.240 --> 00:00:11.320]   (audience chattering continues)
[00:00:12.160 --> 00:00:16.320]   (audience chattering continues)
[00:00:16.320 --> 00:00:20.400]   (audience chattering continues)
[00:00:20.400 --> 00:00:24.480]   (audience chattering continues)
[00:00:24.480 --> 00:00:28.560]   (audience chattering continues)
[00:00:28.560 --> 00:00:32.640]   (audience chattering continues)
[00:00:32.640 --> 00:00:36.720]   (audience chattering continues)
[00:00:36.720 --> 00:00:40.800]   (audience chattering continues)
[00:00:40.800 --> 00:00:44.880]   (audience chattering continues)
[00:00:44.900 --> 00:00:48.980]   (audience chattering continues)
[00:00:48.980 --> 00:00:53.060]   (audience chattering continues)
[00:00:53.060 --> 00:00:57.060]   (audience chattering continues)
[00:00:57.100 --> 00:01:01.100]   (audience chattering continues)
[00:01:01.100 --> 00:01:05.100]   (audience chattering continues)
[00:01:05.100 --> 00:01:09.100]   (audience chattering continues)
[00:01:09.100 --> 00:01:13.100]   (audience chattering continues)
[00:01:13.100 --> 00:01:17.100]   (audience chattering continues)
[00:01:17.100 --> 00:01:21.100]   (audience chattering continues)
[00:01:21.100 --> 00:01:25.100]   (audience chattering continues)
[00:01:25.100 --> 00:01:29.100]   (audience chattering continues)
[00:01:29.100 --> 00:01:33.100]   (audience chattering continues)
[00:01:34.100 --> 00:01:38.100]   (audience chattering continues)
[00:01:38.100 --> 00:01:42.100]   (audience chattering continues)
[00:01:42.100 --> 00:01:46.100]   (audience chattering continues)
[00:01:46.100 --> 00:01:50.100]   (audience chattering continues)
[00:01:50.100 --> 00:01:54.100]   (audience chattering continues)
[00:01:54.100 --> 00:01:58.100]   (audience chattering continues)
[00:01:58.100 --> 00:02:02.100]   (audience chattering continues)
[00:02:02.100 --> 00:02:06.100]   (audience chattering continues)
[00:02:06.100 --> 00:02:10.100]   (audience chattering continues)
[00:02:10.100 --> 00:02:14.100]   (audience chattering continues)
[00:02:14.100 --> 00:02:18.100]   (audience chattering continues)
[00:02:18.100 --> 00:02:38.100]   (audience chattering continues)
[00:02:39.100 --> 00:02:43.100]   (audience chattering continues)
[00:02:43.100 --> 00:02:47.100]   (audience chattering continues)
[00:02:47.100 --> 00:02:51.100]   (audience chattering continues)
[00:02:52.100 --> 00:02:56.100]   (audience chattering continues)
[00:02:57.100 --> 00:03:01.100]   (audience chattering continues)
[00:03:02.100 --> 00:03:06.100]   (audience chattering continues)
[00:03:07.100 --> 00:03:11.100]   (audience chattering continues)
[00:03:11.100 --> 00:03:15.100]   (audience chattering continues)
[00:03:15.100 --> 00:03:19.100]   (audience chattering continues)
[00:03:20.100 --> 00:03:24.100]   (audience chattering continues)
[00:03:24.100 --> 00:03:39.100]   (audience chattering continues)
[00:03:39.100 --> 00:03:43.100]   (audience chattering continues)
[00:03:44.100 --> 00:03:48.100]   (audience chattering continues)
[00:03:48.100 --> 00:03:52.100]   (audience chattering continues)
[00:03:53.100 --> 00:03:57.100]   (audience chattering continues)
[00:03:58.100 --> 00:04:02.100]   (audience chattering continues)
[00:04:03.100 --> 00:04:07.100]   (audience chattering continues)
[00:04:07.100 --> 00:04:20.100]   (audience chattering continues)
[00:04:20.100 --> 00:04:24.100]   (audience chattering continues)
[00:04:25.100 --> 00:04:29.100]   (audience chattering continues)
[00:04:30.100 --> 00:04:34.100]   (audience chattering continues)
[00:04:35.100 --> 00:04:39.100]   (audience chattering continues)
[00:04:40.100 --> 00:04:44.100]   (audience chattering continues)
[00:04:45.100 --> 00:04:49.100]   (audience chattering continues)
[00:04:50.100 --> 00:04:54.100]   (audience chattering continues)
[00:04:55.100 --> 00:04:59.100]   (audience chattering continues)
[00:04:59.100 --> 00:05:06.100]   (audience chattering continues)
[00:05:06.100 --> 00:05:15.100]   (audience chattering continues)
