
[00:00:00.000 --> 00:00:03.780]   - What are you thinking, what do we see here?
[00:00:03.780 --> 00:00:06.040]   - I was like, I don't know.
[00:00:06.040 --> 00:00:06.880]   - Thank you.
[00:00:06.880 --> 00:00:11.880]   - Thank you.
[00:00:11.880 --> 00:00:13.640]   - Thank you.
[00:00:13.640 --> 00:00:15.640]   - Thank you. - Thank you.
[00:00:15.640 --> 00:00:16.480]   - Thank you.
[00:00:16.480 --> 00:00:18.480]   - Thank you.
[00:00:18.480 --> 00:00:20.480]   - Thank you. - Thank you.
[00:00:20.480 --> 00:00:24.480]   - Thank you.
[00:00:24.480 --> 00:00:25.480]   - Thank you.
[00:00:25.480 --> 00:00:26.480]   - Thank you.
[00:00:26.480 --> 00:00:29.480]   - Thank you.
[00:00:29.480 --> 00:00:30.480]   - Thank you.
[00:00:30.480 --> 00:00:31.480]   - Thank you.
[00:00:31.480 --> 00:00:32.480]   - Thank you.
[00:00:32.480 --> 00:00:33.480]   - Thank you.
[00:00:33.480 --> 00:00:34.480]   - Thank you.
[00:00:34.480 --> 00:00:35.480]   - Thank you.
[00:00:35.480 --> 00:00:36.480]   - Thank you.
[00:00:36.480 --> 00:00:37.480]   - Thank you.
[00:00:37.480 --> 00:00:38.480]   - Thank you.
[00:00:38.480 --> 00:00:39.480]   - Thank you.
[00:00:39.480 --> 00:00:41.480]   - Thank you.
[00:00:41.480 --> 00:00:42.480]   - Thank you.
[00:00:42.480 --> 00:00:43.480]   - Thank you.
[00:00:43.480 --> 00:00:44.480]   - Thank you.
[00:00:44.480 --> 00:00:45.480]   - Thank you.
[00:00:45.480 --> 00:00:46.480]   - Thank you.
[00:00:46.480 --> 00:00:47.480]   - Thank you.
[00:00:47.480 --> 00:00:48.480]   - Thank you.
[00:00:48.480 --> 00:00:49.480]   - Thank you.
[00:00:49.480 --> 00:00:50.480]   - Thank you.
[00:00:50.480 --> 00:00:51.480]   - Thank you.
[00:00:51.480 --> 00:00:52.480]   - Thank you.
[00:00:52.480 --> 00:00:53.480]   - Thank you.
[00:00:53.480 --> 00:00:54.480]   - Thank you.
[00:00:54.480 --> 00:00:55.480]   - Thank you.
[00:00:55.480 --> 00:00:56.480]   - Thank you.
[00:00:56.480 --> 00:00:57.480]   - Thank you.
