
[00:00:00.000 --> 00:00:00.540]   Let's try.
[00:00:00.540 --> 00:00:00.900]   Probably.
[00:00:00.900 --> 00:00:10.420]   The life I'm getting through, but do you know that all the dark, but do you know that all the dark won't stop?
[00:00:10.420 --> 00:00:15.180]   The life I'm getting through, and we do.
[00:00:15.180 --> 00:00:22.260]   Do you wish that you could see it all made new?
[00:00:22.260 --> 00:00:25.540]   And we do.
[00:00:25.540 --> 00:00:26.880]   Is anyone worthy?
[00:00:26.880 --> 00:00:33.480]   Is anyone worthy?
[00:00:33.480 --> 00:00:36.800]   Is anyone whole?
[00:00:36.800 --> 00:00:41.640]   Is anyone able to break the seal?
[00:00:41.640 --> 00:00:43.760]   Open the scroll.
[00:00:43.760 --> 00:00:50.620]   The line of Judah will conquer the grave.
[00:00:51.760 --> 00:00:58.360]   Is anyone true, and the Lamb will die to ransom and slain.
[00:00:58.360 --> 00:01:08.000]   Is anyone worthy of a blessing and honor?
[00:01:08.000 --> 00:01:17.720]   Is anyone worthy of a blessing and honor?
[00:01:17.720 --> 00:01:19.640]   Is anyone worthy of a blessing and honor?
[00:01:19.640 --> 00:01:21.600]   Is anyone worthy of a blessing and honor?
[00:01:21.600 --> 00:01:23.080]   Is anyone worthy of a blessing and honor?
[00:01:23.080 --> 00:01:25.520]   Is anyone worthy of a blessing and honor?
[00:01:25.520 --> 00:01:37.060]   Is anyone worthy of a blessing and honor?
[00:01:37.060 --> 00:01:38.160]   Is anyone worthy of a blessing and honor?
[00:01:38.160 --> 00:01:40.200]   Is anyone worthy of a blessing and honor?
[00:01:40.200 --> 00:01:42.200]   Is anyone worthy of a blessing and honor?
[00:01:42.200 --> 00:01:45.880]   Is anyone worthy of a blessing and honor?
[00:01:45.880 --> 00:01:47.800]   Is anyone worthy of a blessing and honor?
[00:01:47.800 --> 00:01:50.400]   Is anyone worthy of a blessing and honor?
[00:01:50.400 --> 00:01:54.340]   Is anyone worthy of a blessing and honor?
[00:01:54.340 --> 00:01:55.540]   Is anyone worthy of a blessing and honor?
[00:01:55.540 --> 00:02:04.720]   Is anyone worthy of a blessing and honor?
[00:02:04.720 --> 00:02:07.280]   Is anyone worthy of a blessing and honor?
[00:02:07.280 --> 00:02:08.280]   Is anyone worthy of a blessing and honor?
[00:02:08.280 --> 00:02:08.280]   Is anyone worthy of a blessing and honor?
[00:02:08.280 --> 00:02:09.160]   Is anyone worthy of a blessing and honor?
[00:02:09.160 --> 00:02:09.280]   Is anyone worthy of a blessing and honor?
[00:02:09.280 --> 00:02:10.420]   Is anyone worthy of a blessing and honor?
[00:02:10.420 --> 00:02:11.360]   Is anyone worthy of a blessing and honor?
[00:02:11.360 --> 00:02:12.360]   Is anyone worthy of a blessing and honor?
[00:02:12.360 --> 00:02:12.420]   Is anyone worthy of a blessing and honor?
[00:02:12.420 --> 00:02:13.420]   Is anyone worthy of a blessing and honor?
[00:02:13.420 --> 00:02:14.420]   Is anyone worthy of a blessing and honor?
[00:02:14.420 --> 00:02:15.420]   Is anyone worthy of a blessing and honor?
[00:02:15.420 --> 00:02:16.420]   Is anyone worthy of a blessing and honor?
[00:02:16.420 --> 00:02:17.420]   Is anyone worthy of a blessing and honor?
[00:02:17.420 --> 00:02:18.420]   Is anyone worthy of a blessing and honor?
[00:02:18.420 --> 00:02:19.420]   Is anyone worthy of a blessing and honor?
[00:02:19.420 --> 00:02:20.420]   Is anyone able to break the seal?
[00:02:20.420 --> 00:02:21.420]   Is anyone able to break the seal?
[00:02:21.420 --> 00:02:22.420]   Is anyone worthy of a blessing and honor?
[00:02:22.420 --> 00:02:22.880]   Is anyone worthy of a blessing and honor?
[00:02:22.880 --> 00:02:23.420]   Is anyone worthy of a blessing and honor?
[00:02:23.420 --> 00:02:23.920]   Is anyone worthy of a blessing and honor?
[00:02:23.920 --> 00:02:24.420]   Is anyone worthy of a blessing and honor?
[00:02:24.420 --> 00:02:26.420]   Is anyone worthy of a blessing and honor?
