
[00:00:00.000 --> 00:00:14.600]   Cast all your burdens now on Him, O praise Him, O praise Him.
[00:00:14.600 --> 00:00:23.600]   Alleluia, Alleluia, Alleluia.
[00:00:23.600 --> 00:00:49.600]   He shall be turned in power to reign, Heaven and earth will join to sing, O praise Him, Alleluia.
[00:00:50.600 --> 00:01:09.600]   Then who shall fall on band in me, O creatures of our God and King, O praise Him, O praise Him.
[00:01:09.600 --> 00:01:19.600]   Alleluia, Alleluia, Alleluia.
[00:01:19.600 --> 00:01:24.600]   Alleluia, Alleluia, Alleluia, Alleluia.
[00:01:24.600 --> 00:01:25.600]   Okay.
[00:01:25.600 --> 00:01:28.600]   53.
[00:01:37.600 --> 00:01:38.600]   Tempo's good?
[00:01:38.600 --> 00:01:39.600]   Too fast?
[00:01:39.600 --> 00:01:40.600]   No, too slow.
[00:01:40.600 --> 00:01:41.600]   This is too slow?
[00:01:41.600 --> 00:01:42.600]   No, too slow.
[00:01:42.600 --> 00:01:43.600]   This is too slow?
[00:01:43.600 --> 00:01:44.600]   No?
[00:01:44.600 --> 00:01:46.600]   Almost high, king of the ages, great I am.
[00:01:46.600 --> 00:01:53.600]   Okay, let's check the tempo real quick.
[00:01:53.600 --> 00:01:54.600]   I think it's faster, really.
[00:01:54.600 --> 00:01:55.600]   You think it's faster?
[00:01:55.600 --> 00:01:56.600]   Yes.
[00:01:56.600 --> 00:01:57.600]   Alright, let's see.
[00:01:57.600 --> 00:01:57.600]   Let's see.
[00:01:57.600 --> 00:01:58.600]   Let's see.
[00:01:58.600 --> 00:01:59.600]   77.
[00:01:59.600 --> 00:02:00.600]   That was my tempo.
[00:02:00.600 --> 00:02:00.600]   Okay, fine, that's fine.
[00:02:00.600 --> 00:02:00.600]   That was my tempo.
[00:02:00.600 --> 00:02:01.600]   Okay, fine, that's fine.
[00:02:01.600 --> 00:02:02.600]   That was my tempo.
[00:02:02.600 --> 00:02:03.600]   Alright, can I go down?
[00:02:03.600 --> 00:02:04.600]   Can I go down?
[00:02:04.600 --> 00:02:05.600]   Oh, that's high.
[00:02:05.600 --> 00:02:06.600]   Oh, that's high.
[00:02:06.600 --> 00:02:08.600]   King of the ages, great I am.
[00:02:08.600 --> 00:02:09.600]   That was my tempo.
[00:02:09.600 --> 00:02:10.600]   Oh, that's high.
[00:02:10.600 --> 00:02:11.600]   King of the ages, great I am.
[00:02:11.600 --> 00:02:12.600]   That was my tempo.
[00:02:12.600 --> 00:02:13.600]   Okay, fine, that's fine.
[00:02:13.600 --> 00:02:14.600]   That was my tempo.
[00:02:14.600 --> 00:02:15.600]   Okay, fine, that's fine.
[00:02:15.600 --> 00:02:16.600]   That was my tempo.
[00:02:16.600 --> 00:02:17.600]   Alright, can I go down?
[00:02:17.600 --> 00:02:24.600]   Oh, multi, king of the ages, great I am.
[00:02:24.600 --> 00:02:38.600]   Oh, multi, king of the ages, great I am.
[00:02:38.600 --> 00:02:55.600]   God of oneness, amen, amen, amen.
[00:02:55.600 --> 00:03:12.600]   Jesus, Lamb of God, God worthy is you.
[00:03:12.600 --> 00:03:13.600]   You're okay?
[00:03:13.600 --> 00:03:13.600]   Yeah, yeah, yeah.
[00:03:13.600 --> 00:03:14.600]   Huh?
[00:03:14.600 --> 00:03:15.600]   Yeah.
[00:03:15.600 --> 00:03:16.600]   Yeah.
[00:03:16.600 --> 00:03:17.600]   You're okay?
[00:03:17.600 --> 00:03:18.600]   Yeah.
[00:03:18.600 --> 00:03:19.600]   Yeah.
[00:03:19.600 --> 00:03:20.600]   Yeah.
[00:03:20.600 --> 00:03:21.600]   You're okay?
[00:03:21.600 --> 00:03:22.600]   Yeah.
[00:03:22.600 --> 00:03:23.600]   I'm okay.
[00:03:23.600 --> 00:03:53.580]   Thank you.
[00:03:53.580 --> 00:04:23.560]   Thank you.
[00:04:23.560 --> 00:04:53.540]   Thank you.
[00:04:53.540 --> 00:05:23.520]   Thank you.
[00:05:23.520 --> 00:05:25.520]   Thank you.
[00:05:25.520 --> 00:05:55.500]   Thank you.
