
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:04.840]   - Good morning, church family.
[00:00:04.840 --> 00:00:06.140]   Happy Lord's Day.
[00:00:06.140 --> 00:00:07.680]   We will now begin our service.
[00:00:07.680 --> 00:00:13.600]   (upbeat music)
[00:00:13.600 --> 00:00:22.200]   ♪ Your love, oh Lord ♪
[00:00:22.200 --> 00:00:26.900]   ♪ Your love, oh Lord ♪
[00:00:26.900 --> 00:00:31.900]   ♪ Preaches to the heavens ♪
[00:00:31.900 --> 00:00:38.400]   ♪ Your faithfulness ♪
[00:00:38.400 --> 00:00:43.400]   ♪ Stretches to the sky ♪
[00:00:43.400 --> 00:00:49.960]   ♪ Your righteousness ♪
[00:00:49.960 --> 00:00:54.960]   ♪ Is like the mighty mountains ♪
[00:00:55.940 --> 00:00:59.740]   ♪ Your justice flows ♪
[00:00:59.740 --> 00:01:04.360]   ♪ Like the ocean's tide ♪
[00:01:04.360 --> 00:01:06.240]   Now we'll lift.
[00:01:06.240 --> 00:01:10.580]   ♪ I will lift my voice ♪
[00:01:10.580 --> 00:01:15.580]   ♪ To worship you my King ♪
[00:01:15.580 --> 00:01:21.760]   ♪ I will find my strength ♪
[00:01:21.760 --> 00:01:26.760]   ♪ In the shadow of your wings ♪
[00:01:26.760 --> 00:01:31.520]   Your love, oh Lord.
[00:01:31.520 --> 00:01:36.180]   ♪ Your love, oh Lord ♪
[00:01:36.180 --> 00:01:41.180]   ♪ Preaches to the heavens ♪
[00:01:41.180 --> 00:01:47.580]   ♪ Your faithfulness ♪
[00:01:47.580 --> 00:01:52.580]   ♪ Stretches to the sky ♪
[00:01:52.580 --> 00:01:59.260]   ♪ Your righteousness ♪
[00:01:59.260 --> 00:02:04.260]   ♪ Is like the mighty mountains ♪
[00:02:04.260 --> 00:02:09.480]   ♪ Your justice flows ♪
[00:02:09.480 --> 00:02:14.480]   ♪ Like the ocean's tide ♪
[00:02:16.060 --> 00:02:20.340]   ♪ I will lift my voice ♪
[00:02:20.340 --> 00:02:25.340]   ♪ To worship you my King ♪
[00:02:25.340 --> 00:02:31.580]   ♪ I will find my strength ♪
[00:02:31.580 --> 00:02:36.580]   ♪ In the shadow of your wings ♪
[00:02:36.580 --> 00:02:38.040]   I will lift.
[00:02:38.040 --> 00:02:43.480]   ♪ I will lift my voice ♪
[00:02:43.480 --> 00:02:48.480]   ♪ To worship you my King ♪
[00:02:48.480 --> 00:02:54.700]   ♪ I will find my strength ♪
[00:02:54.700 --> 00:02:59.700]   ♪ In the shadow of your wings ♪
[00:02:59.700 --> 00:03:08.920]   ♪ Your love, oh Lord ♪
[00:03:08.920 --> 00:03:13.920]   ♪ Preaches to the heavens ♪
[00:03:13.920 --> 00:03:20.480]   ♪ Your faithfulness ♪
[00:03:20.480 --> 00:03:23.720]   ♪ Stretches to the sky ♪
[00:03:23.720 --> 00:03:29.820]   - All right, good morning.
[00:03:29.820 --> 00:03:31.500]   Welcome to Burning Community Church.
[00:03:31.500 --> 00:03:34.100]   First of all, as you guys notice,
[00:03:34.100 --> 00:03:35.260]   as you're coming into the church,
[00:03:35.260 --> 00:03:37.220]   you saw the setup outside.
[00:03:37.220 --> 00:03:40.440]   Our Korea Mission team is doing a fundraiser.
[00:03:40.440 --> 00:03:43.200]   The team is going out in mid or early July
[00:03:43.200 --> 00:03:45.840]   to run a couple English camps
[00:03:45.840 --> 00:03:48.120]   to reach out to the students out there.
[00:03:48.120 --> 00:03:51.440]   And so the cost of the chili cheese dog,
[00:03:51.440 --> 00:03:53.800]   the chili is homemade, so this is not out of the can.
[00:03:53.800 --> 00:03:56.640]   This is like, you know, genuine stuff.
[00:03:56.640 --> 00:03:59.560]   So if you go out there, for adults it's $10
[00:03:59.560 --> 00:04:01.160]   and for children it's five.
[00:04:01.160 --> 00:04:03.160]   So it'll be served between this service
[00:04:03.160 --> 00:04:04.960]   and then also for the third service.
[00:04:06.620 --> 00:04:09.200]   Obviously, our members meeting is happening today
[00:04:09.200 --> 00:04:10.200]   after the third service,
[00:04:10.200 --> 00:04:11.720]   so make sure you grab your lunch
[00:04:11.720 --> 00:04:13.960]   and then afterwards come into this room
[00:04:13.960 --> 00:04:15.080]   no later than 2 p.m.
[00:04:15.080 --> 00:04:16.440]   and then we're gonna get started right at 2 p.m.
[00:04:16.440 --> 00:04:18.680]   There's actually quite a lot of stuff
[00:04:18.680 --> 00:04:21.340]   that we're covering during that time,
[00:04:21.340 --> 00:04:23.640]   so please come right at two o'clock.
[00:04:23.640 --> 00:04:25.680]   We're gonna start right at two o'clock.
[00:04:25.680 --> 00:04:28.000]   All church praise and prayer is happening this Friday.
[00:04:28.000 --> 00:04:32.040]   Our regular Bible study for now is completed.
[00:04:32.040 --> 00:04:37.040]   And then obviously we have summer equipping classes
[00:04:37.040 --> 00:04:40.680]   that will be offered and we're gonna make a push again.
[00:04:40.680 --> 00:04:42.260]   You probably heard it in the Bible study.
[00:04:42.260 --> 00:04:43.560]   We mentioned it last week.
[00:04:43.560 --> 00:04:46.860]   But that's gonna be starting at the end of May.
[00:04:46.860 --> 00:04:49.900]   But this coming Friday we have praise and prayer
[00:04:49.900 --> 00:04:51.940]   and then BAM Koinonia group.
[00:04:51.940 --> 00:04:54.740]   So this is a fellowship group for the BAM ministry,
[00:04:54.740 --> 00:04:56.940]   if you're part of the singles ministry.
[00:04:56.940 --> 00:04:58.060]   That's gonna be taking place
[00:04:58.060 --> 00:05:01.580]   and so the sign up is by May 18th.
[00:05:01.580 --> 00:05:03.100]   So please sign up to do that.
[00:05:03.100 --> 00:05:04.580]   And it says you must be a member
[00:05:04.580 --> 00:05:06.420]   to be participating in this.
[00:05:06.420 --> 00:05:08.760]   And then finally, today is the last day to sign up
[00:05:08.760 --> 00:05:11.220]   for men's softball tournament.
[00:05:11.220 --> 00:05:13.640]   That's taking place in May 24th.
[00:05:13.640 --> 00:05:15.180]   And so if you signed up already,
[00:05:15.180 --> 00:05:17.600]   you probably got an email from Tim
[00:05:17.600 --> 00:05:19.140]   that there is going to be a practice
[00:05:19.140 --> 00:05:22.780]   after the members meeting.
[00:05:22.780 --> 00:05:25.460]   So at 3.30 where they had it last week.
[00:05:25.460 --> 00:05:26.780]   So please show up to that.
[00:05:26.780 --> 00:05:28.620]   And if you are interested and even if you can't come,
[00:05:28.620 --> 00:05:29.980]   please let him know.
[00:05:29.980 --> 00:05:31.620]   And today is the last day to sign up
[00:05:31.620 --> 00:05:32.860]   if you haven't signed up for it.
[00:05:32.860 --> 00:05:34.600]   And then for the women's fellowship,
[00:05:34.600 --> 00:05:36.620]   just like they did last year,
[00:05:36.620 --> 00:05:38.220]   the women are gonna be getting together
[00:05:38.220 --> 00:05:41.300]   and having fellowship around softball
[00:05:41.300 --> 00:05:43.460]   and that's gonna be taking place on June 8th.
[00:05:43.460 --> 00:05:44.700]   And so please sign up for that
[00:05:44.700 --> 00:05:45.800]   and you'll get an announcement
[00:05:45.800 --> 00:05:47.380]   or like where to meet for that.
[00:05:47.380 --> 00:05:49.980]   And again, it's whatever your skill may be,
[00:05:49.980 --> 00:05:51.260]   it's for the purpose of fellowship.
[00:05:51.260 --> 00:05:54.240]   So please sign up and you'll be able to meet other sisters
[00:05:54.240 --> 00:05:55.080]   during that period.
[00:05:55.080 --> 00:05:57.200]   I think that's all for the announcements.
[00:05:57.200 --> 00:06:00.440]   Let me pray for us and then I'll give you some time
[00:06:00.440 --> 00:06:02.160]   for the offering.
[00:06:02.160 --> 00:06:03.460]   And again, if you are visiting us
[00:06:03.460 --> 00:06:05.000]   and you brought a physical offering,
[00:06:05.000 --> 00:06:06.960]   we do have a box in the back on the way out.
[00:06:06.960 --> 00:06:08.120]   Okay, let's pray.
[00:06:08.120 --> 00:06:16.840]   Father, we pray for your continued grace and guidance.
[00:06:16.840 --> 00:06:20.440]   We pray, Father God, that the power of the Holy Spirit
[00:06:20.440 --> 00:06:22.620]   would continue to grip us and guide us.
[00:06:22.620 --> 00:06:26.920]   That your word would teach us, mold us,
[00:06:26.920 --> 00:06:28.120]   transform us.
[00:06:28.120 --> 00:06:32.520]   Help us, Lord God, to be people who are constantly
[00:06:32.520 --> 00:06:34.320]   aware of your presence in our lives.
[00:06:34.320 --> 00:06:36.600]   And that what we offer up to you
[00:06:36.600 --> 00:06:38.280]   would not simply be our time,
[00:06:38.280 --> 00:06:40.680]   but our very lives and our very heart.
[00:06:40.680 --> 00:06:43.520]   Help us to worship you in spirit and in truth.
[00:06:43.520 --> 00:06:45.760]   And that even this giving may be a reflection
[00:06:45.760 --> 00:06:47.300]   of that worship.
[00:06:47.300 --> 00:06:50.960]   May it be multiplied 30, 60, 100 fold.
[00:06:50.960 --> 00:06:54.920]   May it be handled with honor and care.
[00:06:54.920 --> 00:06:56.360]   And that we may use it, Lord God,
[00:06:56.360 --> 00:06:57.780]   to advance your kingdom.
[00:06:57.780 --> 00:06:59.480]   In Jesus' name we pray, amen.
[00:06:59.480 --> 00:07:03.600]   (soft piano music)
[00:07:03.600 --> 00:07:06.520]   (soft piano music)
[00:07:06.520 --> 00:07:09.440]   (soft piano music)
[00:07:09.440 --> 00:07:12.360]   (soft piano music)
[00:07:12.360 --> 00:07:15.280]   (soft piano music)
[00:07:15.280 --> 00:07:18.200]   (soft piano music)
[00:07:18.200 --> 00:07:23.520]   (soft piano music)
[00:07:23.520 --> 00:07:30.080]   (soft piano music)
[00:07:30.080 --> 00:07:34.280]   (soft piano music)
[00:07:34.280 --> 00:07:41.680]   (soft piano music)
[00:07:41.680 --> 00:07:44.600]   (soft piano music)
[00:07:44.600 --> 00:07:50.800]   - Let us all rise and spend a few moments
[00:07:50.800 --> 00:07:53.400]   to greet the neighbors around us before we continue.
[00:07:53.400 --> 00:07:57.480]   (audience cheering)
[00:07:57.480 --> 00:08:00.640]   (audience chattering)
[00:08:00.640 --> 00:08:03.800]   (audience chattering)
[00:08:03.800 --> 00:08:25.600]   (upbeat music)
[00:08:29.600 --> 00:08:31.360]   - Sing "Praise is Rising."
[00:08:31.360 --> 00:08:35.560]   ♪ Praise is rising ♪
[00:08:35.560 --> 00:08:40.560]   ♪ Eyes are turning to you ♪
[00:08:40.560 --> 00:08:47.600]   ♪ We turn to you ♪
[00:08:47.600 --> 00:08:52.360]   ♪ Hope is stirring ♪
[00:08:52.360 --> 00:08:57.360]   ♪ Hearts are yearning for you ♪
[00:08:59.480 --> 00:09:03.680]   ♪ We long for you ♪
[00:09:03.680 --> 00:09:06.080]   ♪ 'Cause when we see you ♪
[00:09:06.080 --> 00:09:11.080]   ♪ We find strength to face the day ♪
[00:09:11.080 --> 00:09:17.400]   ♪ In your presence all our fears are washed away ♪
[00:09:17.400 --> 00:09:21.400]   ♪ Washed away ♪
